title_type,primary_title,genres,runtime_minutes,num_votes,average_rating
short,Buster's Joke on Papa,"Comedy,Short",3.0,9,4.8
short,The Pajama Dance,"Comedy,Short",,20,4.9
short,Le repas fantastique,"Comedy,Short",2.0,62,5.4
short,Panorama of Beach and Cliff House,"Documentary,Short",2.0,85,4.8
short,Orphans in the Surf,"Documentary,Short",2.0,22,3.9
short,Panorama de Constantine,"Documentary,Short",,10,4.1
short,Hammerfest,"Documentary,Short",2.0,81,5.2
short,"Native Women Coaling a Ship at St. Thomas, D.W.I.","Documentary,Short",1.0,24,3.5
short,Coronation Durbar at Delhi,"Documentary,Short",2.0,62,4.8
short,The Mischances of a Drunkard,"Comedy,Short",,24,5.9
short,The Nigger Boy's Revenge,"Comedy,Short",,14,7.6
short,"City Hall to Harlem in 15 Seconds, Via the Subway Route","Comedy,Short",2.0,29,4.9
short,European Rest Cure,"Comedy,Short",17.0,223,5.3
short,The Suburbanite,"Comedy,Short",9.0,252,5.6
short,Métamorphose du roi de pique,"Fantasy,Short",,22,5.9
short,Atlantic City Floral Parade,"Documentary,Short",2.0,16,3.8
short,"Exhibition Fire Drill, Union Square, N.Y.","Documentary,Short",,10,3.4
short,"Opening Ceremonies, St. Louis Exposition","Documentary,Short",4.0,36,3.5
short,A Day in the Hayfields,"Documentary,Short",4.0,77,5.7
short,Barcelona Park at Twilight,"Documentary,Short",2.0,170,5.3
movie,Bohemios,,100.0,15,4.1
movie,Valsons,Music,,27,3.5
short,Five O'Clock Tea,Short,3.0,16,3.1
short,"Latina, Physical Culture Poses (No. 1)",Short,,18,3.4
short,The Scheming Gambler's Paradise,Short,3.0,838,6.1
short,"St. Patrick's Day Parade, Lowell, Mass.","News,Short",3.0,72,4.0
short,Falsely Accused,"Drama,Short",13.0,16,5.2
short,Down in the Coal Mines,"Drama,Short",14.0,63,5.6
short,In a Bamboo Hut,"Music,Short",2.0,34,5.3
short,Wrestling at the New York Athletic Club,"Short,Sport",4.0,59,4.9
short,England v. Ireland at Manchester,"Short,Sport",3.0,26,5.1
short,Disagreeable Mistake,"Comedy,Short",1.0,40,4.6
short,The Absent-Minded Shoeblack,"Comedy,Short",1.0,16,4.8
short,Fine Feathers Make Fine Birds,"Comedy,Short",6.0,29,4.8
short,2 A.M. in the Subway,"Comedy,Short",1.0,178,4.7
short,"20, 000 Leagues Under the Sea","Sci-Fi,Short",18.0,12,5.8
short,The Kleptomaniac,"Crime,Drama,Short",8.0,384,5.7
short,Proslava na 'Sv. Kiril i Metodij',"Documentary,Short",1.0,88,5.1
short,Prinsparets ankomst till Stockholm den 9 juli,"Documentary,Short",,17,3.0
short,Proslava na vodici vo ber,"Documentary,Short",2.0,84,5.0
short,Coney Island at Night,"Documentary,Short",4.0,348,6.1
short,Baby's Toilet,"Documentary,Short",3.0,70,4.6
short,"Empire State Express, the Second, Taking Water on the Fly","Documentary,Short",1.0,20,4.2
short,Olden and New Style Conjuring,Short,,17,6.3
short,Whence Does He Come?,Short,2.0,16,5.4
short,Proklamationen af Kong Frederik d. VIII,"News,Short",3.0,13,3.6
short,Rescued in Mid-Air,"Drama,Short",9.0,35,5.2
short,Les malheurs de monsieur Ducornard,"Comedy,Short",,9,4.7
short,La vengeance du clerc de notaire,"Comedy,Short",,12,4.4
short,La vérité sur l'homme-singe,"Comedy,Short",5.0,129,5.4
